Title,Description,Link,Published Date
Giro d’Italia 2024: Tadej Pogacar leaves rivals flailing with time-trial dominance,"<ul><li>Slovenian wins stage seven, with Filippo Ganna in second place</li><li>Pogacar now already leads race by two minutes and 36 seconds</li></ul><p>Tadej Pogacar of UAE Team Emirates produced an individual time-trial masterclass to win stage seven of the Giro d’Italia, crushing the opposition on the 40.6km route from Foligno to Perugia after Filippo Ganna had set the pace.</p><p>Ineos Grenadiers’ Italian rider Ganna had set a time of 52min 1sec and looked set to win the stage when Pogacar found himself behind after the second intermediate checkpoint. However, the Slovenian made up time on the brutal climb to the finish line and ultimately crossed the line at 51:44, punching the air as he went 17sec faster than Ganna to extend his overall lead and retain the <em>maglia rosa</em>.</p> <a href=""https://www.theguardian.com/sport/article/2024/may/10/giro-ditalia-2024-tadej-pogacar-time-trial-dominance-cycling"">Continue reading...</a>",https://www.theguardian.com/sport/article/2024/may/10/giro-ditalia-2024-tadej-pogacar-time-trial-dominance-cycling,2024-05-10 15:52:32
Joe Biden is desperate for this war to end – but neither Netanyahu nor Hamas is in any hurry | Jonathan Freedland,"<p>Failing to stop an all-out attack on Rafah would make the US president look weak – an unthinkable prospect in election year</p><p>Beware cornering a US president anxious about re-election. Benjamin Netanyahu has repeatedly ignored that advice in his dealings with Joe Biden, and this week his country learned the price.</p><p>It came in the revelation that Biden had <a href=""https://www.theguardian.com/world/article/2024/may/08/us-weapons-shipment-pause-israel-idf-rafah-gaza-hamas-war-palestine"">withheld the supply</a> of about 3,500 bombs, refusing to let US munitions play a part in an Israeli assault on the southern Gaza city of Rafah, where more than a million Palestinians have sought refuge. The president was at pains to say he was not giving up his “ironclad” commitment to Israel. Instead, it was just the specific, long-threatened Rafah operation that he would not back with weapons. “We’re not walking away from Israel’s security,” <a href=""https://apnews.com/article/israel-weapons-shipment-us-eed365ebef0477ba74bf9848cacae4f4"">Biden told CNN</a>. “We’re walking away from Israel’s ability to wage war in those areas.”</p><p>Jonathan Freedland is a Guardian columnist</p><p><em><strong>Do you have an opinion on the issues raised in this article? If you would like to submit a response of up to 300 words by email to be considered for publication in our<a href=""https://www.theguardian.com/tone/letters""> letters</a> section, please <a href=""mailto:guardian.letters@theguardian.com?body=Please%20include%20your%20name,%20full%20postal%20address%20and%20phone%20number%20with%20your%20letter%20below.%20Letters%20are%20usually%20published%20with%20the%20author%27s%20name%20and%20city/town/village.%20The%20rest%20of%20the%20information%20is%20for%20verification%20only%20and%20to%20contact%20you%20where%20necessary."">click here</a>.</strong></em></p><p><br></p> <a href=""https://www.theguardian.com/commentisfree/article/2024/may/10/joe-biden-war-benjamin-netanyahu-hamas-rafah"">Continue reading...</a>",https://www.theguardian.com/commentisfree/article/2024/may/10/joe-biden-war-benjamin-netanyahu-hamas-rafah,2024-05-10 16:25:58
The Guardian view on Israel’s far right: occupation of Palestinian territory feeds its extremism | Editorial,"<p>Smarter sanctions must end the state sponsorship that allows settlements to grow and the political influence of religious zealots to flourish</p><p>Which country today brushes aside credible <a href=""https://www.hrw.org/news/2024/04/04/gaza-israeli-strike-killing-106-civilians-apparent-war-crime"">accusations</a> of war crimes in a military campaign where its actions are under investigation for <a href=""https://www.npr.org/2024/01/26/1227078791/icj-israel-genocide-gaza-palestinians-south-africa"">genocide</a>? Which nation’s political leadership endorses the illegal, violent <a href=""https://www.reuters.com/world/middle-east/israeli-settlements-expand-by-record-amount-un-rights-chief-says-2024-03-08/"">expropriation</a> of land and reduces its most steadfast friend – whose protection is vital to its survival – to threaten to withdraw support? Unfortunately, the answer is Israel, which has turned its unchecked anger on the Palestinians after Hamas <a href=""https://www.theguardian.com/world/2024/feb/09/biden-criticises-israel-gaza-military-campaign-over-the-top"">massacred</a> 1,200 of its citizens and took 253 others hostage. Revenge has led to an intensifying conflict with devastating consequences.</p><p>While the recent violence is unprecedented in its ferocity, Israel has had a history of rogue conduct. But a deeper crisis for the country lies beneath the defiance with which <a href=""https://www.cbsnews.com/news/israel-biden-weapons-hamas-war-gaza-strip-netanyahu-rafah-offensive/"">far-right</a> Israeli cabinet members respond to Joe Biden’s <a href=""https://www.theguardian.com/us-news/article/2024/may/08/biden-israel-weapons-shipment-rafah-invasion"">warning</a> that the US would withhold arms should Israel invade Gaza’s southernmost city, Rafah. There appear to be no limits to how far extremists in Israel will go in disregarding world opinion.</p><p><em><strong>Do you have an opinion on the issues raised in this article? If you would like to submit a response of up to 300 words by email to be considered for publication in our<a href=""https://www.theguardian.com/tone/letters""> letters</a> section, please <a href=""mailto:guardian.letters@theguardian.com?body=Please%20include%20your%20name,%20full%20postal%20address%20and%20phone%20number%20with%20your%20letter%20below.%20Letters%20are%20usually%20published%20with%20the%20author%27s%20name%20and%20city/town/village.%20The%20rest%20of%20the%20information%20is%20for%20verification%20only%20and%20to%20contact%20you%20where%20necessary."">click here</a>.</strong></em></p> <a href=""https://www.theguardian.com/commentisfree/article/2024/may/10/the-guardian-view-on-israels-far-right-occupation-of-palestinian-territory-feeds-its-extremism"">Continue reading...</a>",https://www.theguardian.com/commentisfree/article/2024/may/10/the-guardian-view-on-israels-far-right-occupation-of-palestinian-territory-feeds-its-extremism,2024-05-10 17:30:03
Piers Morgan won’t care where the Baby Reindeer saga goes. But Netflix should | Marina Hyde,"<p>An interview with the woman who allegedly inspired the stalker character has been the latest jaw-dropper in the hit show’s afterlife</p><p>What will happen next in the still-mushrooming Baby Reindeer saga? Probably one or more of a number of bad things. Latest bad thing to happen (at time of writing) was Piers Morgan’s <a href=""https://www.mirror.co.uk/tv/tv-news/baby-reindeers-real-life-martha-32771607"">decision to pay</a> the so-called real-life Martha – reportedly the inspiration for the stalker character in the Netflix programme – what she claims was £250 so he could <a href=""https://www.theguardian.com/media/article/2024/may/09/inspiration-for-baby-reindeer-stalker-character-says-she-received-death-threats"">interview her on his YouTube show</a>. I always feel the most disingenuous gambit in journalism is the one that goes: “We just want to give you the chance to tell your side of the story …” Anyway, the resultant encounter dropped on Thursday night and was an object lesson in wild-west TV, which has already sparked condemnation from a number of angles. Let’s hope it doesn’t spark real-life events of its own.</p><p>Clearly mindful of the criticisms that would be levelled at him for featuring someone UK news outlets had largely avoided even naming, Morgan approached his interviewee wearing a veneer of empathy. Ultimately, though, the Martha character’s enterprise would surely seem low-grade to all the people who edited tabloid newspapers in the not-too-distant past. After all, if you want someone relentlessly pursued, you just get the news desk to do it. Or a private detective. Or – but no. We daren’t all operate under the heroic “uncensored” banner.</p><p>Marina Hyde is a Guardian columnist</p> <a href=""https://www.theguardian.com/commentisfree/article/2024/may/10/piers-morgan-baby-reindeer-netflix-interview"">Continue reading...</a>",https://www.theguardian.com/commentisfree/article/2024/may/10/piers-morgan-baby-reindeer-netflix-interview,2024-05-10 14:02:28
‘I am starting to panic about my child’s future’: climate scientists wary of starting families,"<p>A fifth of female climate scientists who responded to Guardian survey said they had opted to have no or fewer children </p><p>“I had the hormonal urges,” said Prof Camille Parmesan, a leading climate scientist based in France. “Oh my gosh, it was very strong. But it was: ‘Do I really want to bring a child into this world that we’re creating?’ Even 30 years ago, it was very clear the world was going to hell in a handbasket. I’m 62 now and I’m actually really glad I did not have children.”</p><p>Parmesan is not alone. An exclusive Guardian survey has found that almost a fifth of the female climate experts who responded have chosen to have no children, or fewer children, due to the environmental crises afflicting the world.</p> <a href=""https://www.theguardian.com/environment/article/2024/may/10/climate-scientists-starting-families-children"">Continue reading...</a>",https://www.theguardian.com/environment/article/2024/may/10/climate-scientists-starting-families-children,2024-05-10 04:00:30
Abigail Disney evokes Old Yeller in plea to reject Republicans after Kristi Noem kills dog,"<p>Exclusive: great-niece of Walt Disney issues appeal to appalled voters on behalf of Progressive Change Campaign Committee</p><p>Evoking the classic Disney tearjerker Old Yeller, in which a family is forced to put down their beloved dog, the US <a href=""https://www.theguardian.com/commentisfree/2023/jul/20/private-planes-carbon-emissions-abigail-disney"">film-maker and campaigner Abigail Disney</a> exhorted voters to oppose the Republican party of Kristi Noem, the South Dakota governor whose <a href=""https://www.theguardian.com/books/2024/apr/26/trump-kristi-noem-shot-dog-and-goat-book"">story of killing Cricket</a>, a 14-month-old dog, shocked the world and seemingly dynamited her hopes of being Donald Trump’s running mate.</p><p>“My great-uncle Walt Disney knew the magic place animals have in the hearts of families everywhere,” Disney wrote in an email released by the Progressive Change Campaign Committee (PCCC) and obtained exclusively by the Guardian.</p> <a href=""https://www.theguardian.com/us-news/article/2024/may/10/kristi-noem-dog-abigail-disney"">Continue reading...</a>",https://www.theguardian.com/us-news/article/2024/may/10/kristi-noem-dog-abigail-disney,2024-05-10 17:29:13
Eurovision struggles to keep politics out as Israel controversy hits Malmö,"<p>Competing rallies are on the streets, Netherlands’ entrant is under investigation and others complain music is being overshadowed</p><p>The official motto of the 68th edition of Eurovision is “united by music”, but as the continent’s beglittered and sequined masses descended on the Swedish city of Malmö for Saturday’s grand final, music’s ability to heal and bridge divides was looking in serious doubt.</p><p>In the run-up to the song contest’s main event, the Netherlands’ performer Joost Klein missed his slot in two dress rehearsals after being put under investigation by the European Broadcasting Union (EBU) due to an unexplained “incident”.</p> <a href=""https://www.theguardian.com/tv-and-radio/article/2024/may/10/eurovision-song-contest-malmo-israel-controversy"">Continue reading...</a>",https://www.theguardian.com/tv-and-radio/article/2024/may/10/eurovision-song-contest-malmo-israel-controversy,2024-05-10 23:01:35
Court upholds Steve Bannon’s January 6 contempt of Congress conviction,"<p>Hard-right strategist faces prison time after losing appeal against conviction for defying subpoena to testify on Capitol attack</p><p><a href=""https://www.theguardian.com/us-news/steve-bannon"">Steve Bannon</a>, the controversial hard-right strategist who has been influential in the thinking of Donald Trump, has lost his appeal against his conviction for contempt of Congress relating to the investigation into the January 6 insurrection.</p><p>A unanimous ruling from a three-judge panel of the District of Columbia circuit court of appeals upheld Bannon’s conviction on Friday. The decision brings him closer to a four-month sentence behind bars meted out to Bannon for having resisted the terms of Congress’s subpoena against him.</p> <a href=""https://www.theguardian.com/us-news/article/2024/may/10/steve-bannon-january-6-appeal-conviction"">Continue reading...</a>",https://www.theguardian.com/us-news/article/2024/may/10/steve-bannon-january-6-appeal-conviction,2024-05-10 16:13:37
"Catalan election gives voters chance to leave ‘lost decade’, says Salvador Illa","<p>Socialist frontrunner says region ready to unite, rather than focus on divisive politics that has plunged country into crisis</p><p>Catalonia’s imminent election offers voters a chance to leave behind a “lost decade” of unstable and divisive rule by pro-independence parties and instead choose a government that will focus on unity and improving “neglected” public services in the wealthy north-eastern Spanish region, according to the socialist frontrunner.</p><p>Salvador Illa, a former central government health minister who leads the Catalan branch of Spain’s ruling socialist party, said the region was ready for change almost seven years after the <a href=""https://www.theguardian.com/world/2017/oct/27/spanish-pm-mariano-rajoy-asks-senate-powers-dismiss-catalonia-president"">failed, unilateral bid to secede</a> plunged the country into political crisis.</p> <a href=""https://www.theguardian.com/world/article/2024/may/10/catalan-election-gives-voters-chance-to-leave-lost-decade-says-salvador-illa"">Continue reading...</a>",https://www.theguardian.com/world/article/2024/may/10/catalan-election-gives-voters-chance-to-leave-lost-decade-says-salvador-illa,2024-05-10 15:35:36
Home Office U-turn lets woman stay in UK with husband and son,"<p>Malwattege Peiris had been told to leave despite court ruling that family had right to be together under settlement scheme</p><p>A woman threatened with deportation and separation from her husband and 10-year-old son is celebrating after a Home Office U-turn allowing them to stay together.</p><p>The Home Office <a href=""https://www.theguardian.com/uk-news/2024/feb/15/woman-told-leave-uk-court-ruling-right-live-family-malwattege-peiris"">previously told</a> Malwattege Peiris to leave the UK despite a court ruling that the family have the right to live together in the UK.</p> <a href=""https://www.theguardian.com/uk-news/article/2024/may/10/home-office-u-turn-malwattege-peiris-eu-settlement-scheme"">Continue reading...</a>",https://www.theguardian.com/uk-news/article/2024/may/10/home-office-u-turn-malwattege-peiris-eu-settlement-scheme,2024-05-10 16:05:38
Virginia school board votes to restore Confederate names to two public schools,"<p>Schools changed their names after 2020 George Floyd protests, but will now revert to old names celebrating slave-state leaders</p><p>An all-white school board in Virginia has voted to restore the names of Robert E Lee and other Confederate military leaders to two public schools in a backlash to the racial reckoning that followed the police murder of George Floyd.</p><p>The decision to restore the names of Lee, Stonewall Jackson and Turner Ashby was taken on Friday morning by the six-member school board in Shenandoah county. Only one of the members voted against the resolution.</p> <a href=""https://www.theguardian.com/us-news/article/2024/may/10/virginia-school-board-restore-confederate-names-public-schools"">Continue reading...</a>",https://www.theguardian.com/us-news/article/2024/may/10/virginia-school-board-restore-confederate-names-public-schools,2024-05-10 14:12:26
Jailed Indian opposition leader granted bail to take part in election campaign,"<p>Supreme court judges order Arvind Kejriwal’s release until 1 June and question timing of his arrest on corruption charges</p><p></p><p>One of India’s best-known opposition leaders, Arvind Kejriwal, the chief minister of Delhi, has been granted bail by the country’s supreme court to allow him to take part in general election campaigningafter being kept behind bars for almost two months.</p><p>Kejriwal, who heads the Aam Aadmi party (AAP), has been held in jail since March when he was arrested on money-laundering charges. He has maintained that his arrest and detention was politically motivated to prevent him taking part in the election, which began in April and will continue until June.</p> <a href=""https://www.theguardian.com/world/article/2024/may/10/jailed-indian-opposition-leader-arvind-kejriwal-granted-bail-take-part-election-campaign"">Continue reading...</a>",https://www.theguardian.com/world/article/2024/may/10/jailed-indian-opposition-leader-arvind-kejriwal-granted-bail-take-part-election-campaign,2024-05-10 14:52:34
Taylor Swift’s new Era Tours setlist – seven Tortured Poets songs added,"<p>As the latest leg of her tour gets under way, fans are closely watching the evolution of the singer’s setlist</p><p><a href=""https://www.theguardian.com/music/taylor-swift"">Taylor Swift</a> has now played two nights in Paris as the latest leg of her Eras tour gets under way. For many fans and Swift-curious observers, one question has been how the singer-songwriter might incorporate songs from her newest album, The Tortured Poets Department, which she released during a break between tour dates.</p><p>In <a href=""https://www.theguardian.com/music/article/2024/may/09/swift-debuts-new-tracks-as-she-returns-to-the-eras-tour"">Paris on Thursday night</a> Swift described her new block of songs as “Female rage, the musical”, and added seven of them from her new 31-track album, including the lead single Fortnight.</p><p>Miss Americana and the Heartbreak Prince</p><p>Cruel Summer</p><p>The Man</p><p>You Need to Calm Down</p><p>Lover</p><p>Fearless</p><p>You Belong With Me</p><p>Love Story</p><p>22</p><p>We Are Never Ever Getting Back Together</p><p>I Knew You Were Trouble</p><p>All Too Well (10-minute version)</p><p>Enchanted</p><p>… Ready For It?</p><p>Delicate</p><p>Don’t Blame Me</p><p>Look What You Made Me Do</p><p>cardigan</p><p>betty</p><p>champagne problems</p><p>august</p><p>illicit affairs</p><p>my tears ricochet</p><p>marjorie</p><p>willow</p><p>Style</p><p>Blank Space</p><p>Shake It Off</p><p>Wildest Dreams</p><p>Bad Blood</p><p>But Daddy I Love Him</p><p>So High School</p><p>Who’s Afraid of Little Old Me?</p><p>Down Bad</p><p>Fortnight</p><p>The Smallest Man Who Ever Lived</p><p>I Can Do It With A Broken Heart</p><p>Paris (from Midnights)</p><p>loml (from TTPD)</p><p>Is It Over Now?</p><p>My Boy Only Breaks His Favorite Toys</p><p>Lavender Haze</p><p>Anti-Hero</p><p>Midnight Rain</p><p>Vigilante Shit</p><p>Bejeweled</p><p>Mastermind</p><p>Karma</p> <a href=""https://www.theguardian.com/music/article/2024/may/10/taylor-swift-new-era-tours-setlist"">Continue reading...</a>",https://www.theguardian.com/music/article/2024/may/10/taylor-swift-new-era-tours-setlist,2024-05-10 21:51:05
‘There’s been one winner – this restaurant’: Toronto eatery is victor in Kendrick-Drake beef,"<p>Hip-hop luminaries bash each other in a diss track war of war of words featuring an unlikely venue: the New Ho King restaurant</p><ul><li><a href=""https://www.theguardian.com/music/article/2024/may/10/drake-and-kendricks-rap-beef-explained-is-this-a-forever-thing"">Drake and Kendrick’s rap beef explained: is this a ‘forever thing’?</a></li></ul><p>When he arrived for dinner with his mother at the New Ho King, Averie Taylor Francois, 14, didn’t need to read the menu.</p><p>Neither did the dozens of others waiting patiently for a table at the bustling Toronto restaurant. The dish everyone had come to enjoy – and to post about on social media – wasn’t on the menu.</p> <a href=""https://www.theguardian.com/music/article/2024/may/10/kendrick-lamar-drake-toronto-restaurant"">Continue reading...</a>",https://www.theguardian.com/music/article/2024/may/10/kendrick-lamar-drake-toronto-restaurant,2024-05-10 17:21:54
‘A handgun in every nightstand’: art installation shines light on US gun violence,"<p>Suzanne Brennan Firstenberg’s artwork features a US flag bearing names of 1,039 people killed in mass shootings since Columbine</p><p>On Capitol Hill there is no shortage of politicians who wrap themselves in the Stars and Stripes and founding documents when seeking to defend the right to bear arms. But any who walk up Pennsylvania Avenue in the next 10 days will be confronted by an inversion of these patriotic symbols and an urgent plea to tackle <a href=""https://www.theguardian.com/world/gun-crime"">gun violence</a>.</p><p>Alienable right to life is a public art installation at <a href=""https://www.nps.gov/places/000/freedom-plaza.htm"">Freedom Plaza</a> that features a huge American flag bearing the names of 1,039 people killed in mass shootings since the <a href=""https://www.theguardian.com/us-news/2024/apr/20/its-25-years-since-columbine-this-is-why-i-cant-leave-the-story-behind"">Columbine high school massacre</a> 25 years ago.</p> <a href=""https://www.theguardian.com/us-news/article/2024/may/10/art-victim-mass-shooting-columbine-washington-dc"">Continue reading...</a>",https://www.theguardian.com/us-news/article/2024/may/10/art-victim-mass-shooting-columbine-washington-dc,2024-05-10 19:45:16
